Văn bản,tình trạng,loại bản ghi,Sơ cứu tại nhà (dành cho mèo),Giống loài,Sơ cứu tại nhà,,,,,,,,,,
Thỏ bị gãy chân sau một tai nạn.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Cần giữ mèo yên tĩnh, cố định nhẹ chi gãy bằng nẹp tạm, không kéo duỗi, tránh di chuyển nhiều và đưa đến bác sĩ thú y ngay để xử lý xương đúng cách.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
Mèo có mảng vảy ở đầu tai.,Kích ứng da,Quan sát của chủ sở hữu,"Cần giữ vùng tai sạch, tránh gãi hoặc cào, không tự bôi thuốc người và đưa đến bác sĩ để kiểm tra nấm, ghẻ hoặc viêm da dị ứng.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chó của tôi bị loạn sản xương hông.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Cần hạn chế vận động mạnh, kiểm soát cân nặng, cho nghỉ nơi êm ấm và đưa đến bác sĩ để được hướng dẫn điều trị, dùng thuốc giảm đau hoặc vật lý trị liệu phù hợp.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
"Có bệnh giun đũa; cắt, làm sạch vết thương, loại bỏ bằng tay tất cả ấu trùng có thể nhìn thấy.",Ký sinh trùng,Ghi chú lâm sàng," Cần làm sạch và loại bỏ ấu trùng thấy được bằng tay sạch, sát trùng nhẹ vùng da, rồi đưa mèo đến bác sĩ để tẩy giun và điều trị toàn thân kịp thời.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Thỏ có biểu hiện nghiêng đầu, rung giật nhãn cầu, liệt chi sau. Khuyến cáo xét nghiệm huyết thanh tìm E. cuniculi. Bắt đầu dùng fenbendazole theo kinh nghiệm.",Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Cần đưa đi xét nghiệm huyết thanh tìm E. cuniculi, bắt đầu điều trị fenbendazole theo hướng dẫn bác sĩ và chăm sóc hỗ trợ giữ mèo nằm yên, tránh té ngã (trường hợp này rất hiếm gặp ở mèo chủ yếu ở thỏ, cần làm xét nghiệm huyết thanh mới có thể chẩn đoán chính xác)",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
Chó con bị đỏ và kích ứng ở các nếp gấp da.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ vùng đó khô sạch, lau nhẹ bằng nước muối sinh lý, tránh liếm gãi và đưa đến bác sĩ để kiểm tra viêm da do nấm hoặc vi khuẩn.",Chó,Ngăn ngừa liếm; vệ sinh bằng thuốc sát trùng nhẹ; tham khảo ý kiến ​​bác sĩ thú y nếu tình trạng trở nên tồi tệ hơn.,,,,,,,,,,
Tụ máu ở tai chó đã được dẫn lưu nhưng lại đầy trở lại.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Cần giữ tai sạch khô, ngăn mèo lắc đầu hoặc gãi, và đưa tái khám bác sĩ để dẫn lưu lại hoặc can thiệp phẫu thuật nếu cần.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
"Con mèo của tôi nôn mửa, sau đó bị tiêu chảy, và bây giờ chỉ trốn đi.",Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Ngừng cho ăn 8–12 giờ, cho uống nước ít nhưng thường xuyên, giữ ấm và yên tĩnh, đồng thời đưa đến bác sĩ ngay nếu mèo mệt, bỏ ăn hoặc ẩn nấp kéo dài.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Mèo nôn ngay sau khi uống nước.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Ngưng cho uống một lúc, sau đó cho liếm nước từng ít một hoặc nước đá vụn, và đưa đến bác sĩ nếu tiếp tục nôn, mệt hoặc bỏ ăn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Chó bị hói nhiều mảng trên mặt và chân.,Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly, giữ vùng da sạch, không tự bôi thuốc, và đưa đến bác sĩ để kiểm tra nấm da hoặc ký sinh trùng.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
"Chất lượng lông kém, bong tróc quá nhiều (bã nhờn khô); đánh giá chế độ ăn, kiểm tra tuyến giáp.",Kích ứng da,Ghi chú lâm sàng,"Cần chải lông thường xuyên, bổ sung dinh dưỡng da lông, đánh giá khẩu phần ăn và kiểm tra chức năng tuyến giáp để loại trừ bệnh nội tiết.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Chó của tôi bị đóng vảy ở rìa tai và rụng lông ở đó, rất ngứa.",Ký sinh trùng,Quan sát của chủ sở hữu,"Cần ngăn mèo gãi, giữ tai sạch khô, không bôi thuốc người và đưa đến bác sĩ để kiểm tra nấm, ghẻ hoặc dị ứng da.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
"Nách của chó sẫm màu, dày và ngứa.",Kích ứng da,Quan sát của chủ sở hữu,"Giữ vùng đó khô sạch, ngăn mèo liếm gãi, kiểm soát cân nặng và đưa đến bác sĩ để kiểm tra viêm da do nấm, dị ứng hoặc nội tiết.",Chó,Ngăn ngừa liếm; vệ sinh bằng thuốc sát trùng nhẹ; tham khảo ý kiến ​​bác sĩ thú y nếu tình trạng trở nên tồi tệ hơn.,,,,,,,,,,
"Nuôi cấy vi khuẩn Staphylococcus pseudintermedius, nhạy cảm với clindamycin.",Kích ứng da,Ghi chú lâm sàng,"Giữ vùng nhiễm sạch khô, tránh mèo liếm cào và dùng clindamycin đúng liều, đủ thời gian theo hướng dẫn bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Loại trừ khả năng nuốt phải chất độc (thực vật, hóa chất, thuốc).",Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Hãy ngăn mèo tiếp xúc thêm, không gây nôn và đưa ngay đến bác sĩ thú y kèm theo mẫu chất nghi ngờ.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
"Tìm thấy một con giun dài, dẹt, màu trắng trong phân tươi của chó tôi.",Ký sinh trùng,Quan sát của chủ sở hữu,"Thu gom mẫu phân và giun cho vào hộp sạch, mang đến bác sĩ thú y để xét nghiệm và tẩy sán dây đúng phác đồ cho mèo.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
"Cung cấp dịch vụ chăm sóc đặc biệt (Oxbow Critical Care), dịch truyền SQ, thuốc giảm đau (meloxicam), thuốc kích thích nhu động ruột (cisapride) cho tình trạng ứ trệ đường tiêu hóa ở thỏ.",Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Giữ vùng sạch và khô bằng nước muối sinh lý, tránh mèo liếm bằng cổ áo hoặc băng nhẹ nếu cần, không tự bôi thuốc người, và đưa đến bác sĩ để khám, cấy vi khuẩn và điều trị kháng sinh/giảm đau phù hợp.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
Móng chân của mèo nhà tôi bị viêm.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo con trong lồng an toàn, hạn chế di chuyển, mở hé cửa sổ cho thông thoáng và hỏi bác sĩ thú y về thuốc chống say phù hợp trước khi đi xa.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Con chó con của tôi có vẻ bị đau bụng khi đi ô tô.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Lau sạch vùng mõm hằng ngày bằng gạc ẩm, giữ khô thoáng và đưa mèo đến bác sĩ thú y để kiểm tra viêm da nếp gấp hoặc nhiễm nấm, vi khuẩn.",Chó,Ngừng cho ăn trong 12 giờ; cung cấp lượng nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng vẫn tiếp diễn.,,,,,,,,,,
Chó của tôi có những nếp gấp da dày quanh mõm và có mùi hôi.,Kích ứng da,Quan sát của chủ sở hữu,Cho mèo dùng thuốc phòng ngừa giun tim hàng tháng quanh năm theo hướng dẫn bác sĩ thú y để đảm bảo hiệu quả bảo vệ liên tục.,Chó,Ngăn ngừa liếm; vệ sinh bằng thuốc sát trùng nhẹ; tham khảo ý kiến ​​bác sĩ thú y nếu tình trạng trở nên tồi tệ hơn.,,,,,,,,,,
Khuyến cáo phòng ngừa giun tim hàng tháng trong suốt cả năm.,Ký sinh trùng,Ghi chú lâm sàng,"Ngừng đổi thức ăn đột ngột, cho mèo con ăn chế độ nhẹ dễ tiêu và cung cấp đủ nước; nếu tiêu chảy kéo dài, hãy đưa đến bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Yếm của thỏ nhà tôi luôn ướt và da bên dưới có màu đỏ.,Kích ứng da,Quan sát của chủ sở hữu,"Làm sạch vùng da tổn thương, dùng thuốc trị bọ chét cho toàn bộ mèo và môi trường, đồng thời đưa mèo đến bác sĩ để điều trị kháng sinh và giảm ngứa.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
Chó con bị tiêu chảy sau khi thay đổi thức ăn quá nhanh.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Theo dõi phản ứng của mèo với thuốc giảm đau và trao đổi với bác sĩ thú y mỗi lần tái khám để điều chỉnh liều phù hợp, tránh quá liều hoặc kém hiệu quả.",Chó,Ngừng cho ăn trong 12 giờ; cung cấp lượng nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng vẫn tiếp diễn.,,,,,,,,,,
Chó của tôi bị nhiễm trùng da do bị bọ chét cắn.,Ký sinh trùng,Quan sát của chủ sở hữu,"Không tự ý dùng thuốc, dễ gây ngộ độc thần kinh; cần mang mèo đến bác sĩ thú y để xác nhận nhiễm Tritrichomonas và được kê đơn ronidazole đúng liều, tránh ngộ độc.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Rụng tóc do pha loãng màu xuất hiện ở chó Doberman xanh; xử lý bệnh viêm mủ da thứ phát.,Kích ứng da,Ghi chú lâm sàng,"Giữ môi trường yên tĩnh, tránh làm mèo giật mình và đưa đến bác sĩ thú y để kiểm tra tai, loại trừ viêm tai, ráy tai hoặc mất thính lực do tuổi già.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Con vẹt mào của tôi bị lờ đờ và đi ngoài phân bất thường.,Ký sinh trùng,Quan sát của chủ sở hữu,"Giữ mèo ấm, trị bọ chét ngay cho tất cả thú trong nhà và đưa mèo đến bác sĩ thú y để kiểm tra thiếu máu và truyền máu nếu cần.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Đánh giá lại hiệu quả và điều chỉnh liều lượng thuốc giảm đau tại mỗi lần theo dõi.,Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Ngừng cho ăn tạm thời, cho mèo uống nước từng ít một để tránh mất nước và đưa đến bác sĩ thú y ngay để tìm nguyên nhân và điều trị.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Kê đơn ronidazole cho trường hợp nghi ngờ nhiễm Tritrichomonas ở mèo.,Ký sinh trùng,Ghi chú lâm sàng,Điều trị ghẻ demodicosis toàn thân cho mèo bằng phác đồ isoxazoline hoặc ivermectin/moxidectin liều cao theo hướng dẫn chuyên môn.,Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Khả năng nghe của mèo nhà tôi có vẻ giảm sút.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Làm sạch nhẹ vùng tai ngoài, tránh ngoáy sâu và đưa mèo đến khám ngay nếu ống tai sưng hẹp hoặc viêm đỏ.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Nướu của chồn sương nhợt nhạt, có thể là do thiếu máu do bọ chét gây ra.",Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh sạch nơi nôn, không tự dùng thuốc tẩy giun và đưa mèo đến bác sĩ để được chẩn đoán và điều trị phù hợp.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Con mèo đã nôn 5 lần trong vài giờ qua.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Giữ mèo nằm yên, hạn chế di chuyển, tránh xoa bóp chân bị liệt và đưa đến cơ sở thú y để kiểm tra thần kinh sớm.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Điều trị bệnh ghẻ demodicosis toàn thân bằng phác đồ isoxazoline hoặc ivermectin/moxidectin liều cao.,Ký sinh trùng,Ghi chú lâm sàng,Tuân thủ điều trị duy trì lâu dài bằng cách dùng thuốc hoặc làm sạch tai hàng tuần theo hướng dẫn của bác sĩ.,Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Ống tai có vẻ bị hẹp lại và sưng lên.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Tạm ngừng cho ăn thức ăn lạ, đảm bảo mèo uống đủ nước và theo dõi, nếu tiêu phân mềm kéo dài thì đưa đến bác sĩ kiểm tra.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Con mèo của tôi nôn ra thứ trông giống như giun đũa.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,Bổ sung men vi sinh (FortiFlora) theo liều khuyến nghị để hỗ trợ và cân bằng hệ vi sinh đường ruột cho mèo.,Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Mèo bị tổn thương thần kinh ở chân.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh môi trường kỹ, rửa tay sau khi tiếp xúc và đưa mèo đến bác sĩ để điều trị ghẻ, ghẻ Notoedres cati ở mèo có thể lây sang người tạm thời .",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Có thể cần phải điều trị duy trì lâu dài bằng cách dùng thuốc/làm sạch tai hàng tuần.,Nhiễm trùng tai,Ghi chú lâm sàng,"Theo dõi tình trạng đi tiêu của mèo, không tự ý dùng thuốc và đưa đến bác sĩ để đánh giá, cân nhắc điều trị bằng cisapride (tăng nhu động ruột) nếu phù hợp.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Điểm phân: 6/7 (mềm, chưa định hình).",Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Giữ mèo nghỉ ngơi yên tĩnh sau khi chọc dịch não tủy, theo dõi dấu hiệu bất thường và chờ kết quả phân tích từ bác sĩ.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Khuyến nghị sử dụng men vi sinh (FortiFlora) để hỗ trợ sức khỏe đường ruột.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Tắm cho mèo bằng sữa tắm dịu nhẹ dành cho thú cưng, giữ da khô thoáng và đưa đến bác sĩ nếu mùi hôi vẫn kéo dài để kiểm tra nguyên nhân da liễu hoặc tuyến bã.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Cạo da cho kết quả dương tính với loài ghẻ Sarcoptes scabiei; thảo luận về khả năng lây truyền từ động vật sang người.,Ký sinh trùng,Ghi chú lâm sàng,"Nhẹ nhàng lau khô tai ngoài, tránh ngoáy sâu và theo dõi, nếu mèo lắc đầu hoặc gãi tai nhiều thì đưa đến bác sĩ kiểm tra.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chồn sương có mảnh vụn sáp sẫm màu trong tai.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Không tự ý dùng thuốc giảm đau opioid, cần đưa mèo đến bác sĩ để được đánh giá và chỉ định methadone an toàn khi đau bụng dữ dội.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Loại trừ nguyên nhân ký sinh trùng (Demodex, Sarcoptes, Cheyletiella) bằng chẩn đoán thích hợp.",Kích ứng da,Ghi chú lâm sàng,"Giữ da mèo sạch, chải lông thường xuyên và đưa đến bác sĩ để kiểm tra nguyên nhân viêm da tiết bã, bao gồm chế độ ăn, tuyến giáp và dị ứng.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Nghi ngờ rối loạn vận động; cân nhắc thử dùng cisapride.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Ngừng cho mèo ăn, theo dõi nôn hoặc đau bụng và đưa đến cơ sở thú y ngay để kiểm tra, vì có thể bị tắc ruột.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Con chồn đang nghiêng đầu.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Hạn chế mèo vận động, tránh gây đau vùng vai và đưa đến bác sĩ để làm xét nghiệm chuyên sâu nhằm phân biệt giữa u xương, di căn hoặc viêm tủy xương do nấm.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Đã thực hiện chọc dịch não tủy; đang chờ phân tích.,Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Làm sạch vết trầy ở đuôi, kiểm tra và loại trừ bọ chét, đồng thời theo dõi để đưa mèo đến bác sĩ nếu vết thương sưng hoặc nhiễm trùng.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Da chó của tôi thường có mùi khó chịu và nồng.,Kích ứng da,Quan sát của chủ sở hữu,"Không lặp lại thuốc tẩy giun cũ, giữ vệ sinh môi trường và đưa mèo con đến bác sĩ để xét nghiệm phân, xác định chủng ký sinh trùng hoặc kháng thuốc.",Chó,Ngăn ngừa liếm; vệ sinh bằng thuốc sát trùng nhẹ; tham khảo ý kiến ​​bác sĩ thú y nếu tình trạng trở nên tồi tệ hơn.,,,,,,,,,,
